epoch     train_loss  valid_loss  accuracy  time    
0         0.963289    0.723537    0.588235  00:51     
1         0.938878    0.703675    0.558824  00:49     
2         0.880854    0.747518    0.529412  00:49     
3         0.906564    0.737770    0.519608  00:49     
4         0.879069    0.718331    0.509804  00:49     
5         0.931619    0.718441    0.519608  00:49     
6         0.857244    0.704285    0.539216  00:49     
7         0.866210    0.712506    0.558824  00:49     
8         0.855058    0.721511    0.509804  00:49     
9         0.864402    0.739118    0.588235  00:49     
10        0.850146    0.701615    0.568627  00:49     
11        0.839451    0.707157    0.598039  00:49     
12        0.794469    0.727056    0.500000  00:49     
13        0.822871    0.688391    0.529412  00:49     
14        0.848362    0.654415    0.656863  00:49     
15        0.778964    0.656004    0.656863  00:49     
16        0.794100    0.668355    0.637255  00:49     
17        0.752220    0.674845    0.607843  00:49     
18        0.757199    0.682524    0.558824  00:49     
19        0.803091    0.671424    0.598039  00:49     
20        0.785814    0.625450    0.627451  00:49     
21        0.755530    0.678159    0.647059  00:49     
22        0.751221    0.608582    0.666667  00:49     
23        0.694723    0.637005    0.676471  00:49     
24        0.728461    0.694772    0.656863  00:49     
25        0.743225    0.625563    0.676471  00:49     
26        0.639514    0.654439    0.627451  00:49     
27        0.720425    0.606075    0.656863  00:49     
28        0.724196    0.601197    0.715686  00:50     
29        0.722034    0.621676    0.696078  00:50     
30        0.691125    0.582185    0.686275  00:49     
31        0.694889    0.602762    0.656863  00:49     
32        0.658449    0.574998    0.686275  00:50     
33        0.662962    0.601179    0.696078  00:49     
34        0.643955    0.574084    0.725490  00:49     
35        0.674029    0.586778    0.705882  00:49     
36        0.672313    0.614366    0.725490  00:49     
37        0.656468    0.581085    0.715686  00:49     
38        0.641207    0.601431    0.715686  00:49     
39        0.656816    0.620516    0.676471  00:49     
40        0.643366    0.604850    0.686275  00:49     
41        0.632194    0.623241    0.705882  00:49     
42        0.637920    0.562608    0.745098  00:49     
43        0.623163    0.586455    0.705882  00:49     
44        0.590497    0.531719    0.745098  00:49     
45        0.617757    0.620802    0.745098  00:50     
46        0.607388    0.569684    0.696078  00:49     
47        0.581538    0.543364    0.735294  00:49     
48        0.622056    0.540541    0.715686  00:49     
49        0.596073    0.570229    0.745098  00:49     
50        0.587386    0.540013    0.774510  00:49     
51        0.634096    0.531528    0.735294  00:50     
52        0.601827    0.538806    0.725490  00:49     
53        0.594295    0.542927    0.725490  00:49     
54        0.607532    0.556208    0.754902  00:49     
55        0.579470    0.540983    0.754902  00:49     
56        0.552351    0.468133    0.803922  00:49     
57        0.558779    0.525854    0.735294  00:50     
58        0.561733    0.488884    0.774510  00:49     
59        0.536683    0.494363    0.745098  00:49     
60        0.541147    0.500541    0.725490  00:49     
61        0.560891    0.455500    0.764706  00:49     
62        0.524396    0.507993    0.754902  00:49     
63        0.490266    0.449587    0.774510  00:50     
64        0.507011    0.472646    0.784314  00:49     
65        0.553872    0.475518    0.735294  00:49     
66        0.527565    0.554130    0.715686  00:49     
67        0.519839    0.434804    0.784314  00:49     
68        0.503109    0.437527    0.794118  00:49     
69        0.505027    0.467711    0.774510  00:49     
70        0.458479    0.444903    0.764706  00:49     
71        0.480279    0.463959    0.784314  00:49     
72        0.521371    0.416349    0.813725  00:50     
73        0.463966    0.381848    0.833333  00:49     
74        0.467120    0.379096    0.852941  00:49     
75        0.486985    0.434751    0.784314  00:49     
76        0.461110    0.398236    0.862745  00:49     
77        0.527872    0.351208    0.843137  00:49     
78        0.469650    0.355761    0.843137  00:49     
79        0.482592    0.352829    0.823529  00:49     
80        0.451974    0.326994    0.872549  00:50     
81        0.465413    0.357765    0.823529  00:49     
82        0.449291    0.446467    0.813725  00:49     
83        0.462110    0.333022    0.892157  00:49     
84        0.465728    0.371810    0.852941  00:49     
85        0.451035    0.315992    0.862745  00:49     
86        0.440046    0.353112    0.843137  00:49     
87        0.431599    0.303938    0.872549  00:48     
88        0.410551    0.284769    0.882353  00:48     
89        0.423843    0.360740    0.843137  00:48     
90        0.439712    0.301997    0.901961  00:48     
91        0.433186    0.334888    0.862745  00:48     
92        0.408344    0.375459    0.823529  00:48     
93        0.404242    0.289167    0.911765  00:49     
94        0.415143    0.352057    0.833333  00:48     
95        0.405033    0.302895    0.882353  00:48     
96        0.397526    0.317527    0.862745  00:48     
97        0.375492    0.264005    0.872549  00:48     
98        0.406315    0.256452    0.882353  00:48     
99        0.391883    0.328480    0.862745  00:48     
100       0.387814    0.294943    0.892157  00:48     
101       0.416045    0.268682    0.931373  00:48     
102       0.398663    0.278427    0.911765  00:48     
103       0.373002    0.284723    0.892157  00:49     
104       0.394454    0.229409    0.950980  00:49     
105       0.380062    0.232969    0.911765  00:48     
106       0.367039    0.216631    0.921569  00:48     
107       0.373757    0.291670    0.882353  00:48     
108       0.386044    0.319994    0.833333  00:48     
109       0.369488    0.246544    0.901961  00:48     
110       0.376488    0.263719    0.882353  00:48     
111       0.325302    0.265634    0.892157  00:48     
112       0.394483    0.237769    0.911765  00:48     
113       0.379699    0.237204    0.911765  00:48     
114       0.386471    0.280148    0.862745  00:48     
115       0.329920    0.286097    0.882353  00:48     
116       0.365766    0.321842    0.843137  00:48     
117       0.322897    0.211782    0.950980  00:48     
118       0.337994    0.235818    0.911765  00:48     
119       0.349296    0.238955    0.921569  00:48     
120       0.333314    0.255150    0.901961  00:48     
121       0.305366    0.246827    0.901961  00:48     
